feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911148|Smith Canyon|Valley|New Mexico|35|Grant|017|Redrock|11/13/1980|01/31/2020||||324357N|1084245W|32.7324551|-108.7126313|324645N|1084359W|32.7792852|-108.7329891
911149|Smith Canyon|Valley|New Mexico|35|Grant|017|Mule Creek|11/13/1980|01/30/2020||||330236N|1085928W|33.0432766|-108.9912289|330105N|1090145W|33.0180237|-109.0291519
911150|Smith Canyon|Valley|New Mexico|35|Socorro|053|Vicks Peak|11/13/1980|02/07/2020||||333719N|1072759W|33.6218958|-107.4664528|333811N|1072534W|33.6363786|-107.4260957
911151|Smith Canyon|Valley|New Mexico|35|McKinley|031|Continental Divide|11/13/1980|01/23/2020||||352803N|1082230W|35.4673824|-108.3748783|352051N|1082543W|35.3475806|-108.4285707
911152|Smith Creek|Stream|New Mexico|35|Catron|003|Underwood Lake|11/13/1980|||||335727N|1085851W|33.9575517|-108.9809079|340016N|1085915W|34.0044956|-108.9875756
911153|Smith Draw|Valley|New Mexico|35|Grant|017|Ninetysix Ranch|11/13/1980|04/01/2020||||321702N|1082359W|32.2840002|-108.3998392|322422N|1082839W|32.4061282|-108.4774487
911154|Smith Mountain|Summit|New Mexico|35|Grant|017|Brushy Mountain|11/13/1980|04/23/2019||||324514N|1084308W|32.7538252|-108.7188066|||0.0|0.0
911156|Smith Spring|Spring|New Mexico|35|Grant|017|Redrock|11/13/1980|04/19/2011||||324455N|1084337W|32.7485172|-108.7268726|||0.0|0.0
911157|Smith Spring|Spring|New Mexico|35|Catron|003|Underwood Lake|11/13/1980|04/19/2011||||335851N|1085844W|33.9809524|-108.9789223|||0.0|0.0
911158|Smith Tank|Reservoir|New Mexico|35|Catron|003|Underwood Lake|11/13/1980|||||335935N|1085915W|33.9931069|-108.9875754|||0.0|0.0
